,job_titles,Creation date,employer,Job_Type,CountryName,Region
0,Data-Engineer (Data Engineer),2023-05-25,outsourcing4work GmbH,Full-time,Germany , Hamburg
1,Data Engineer (Data Engineer),2023-05-19,Universitätsklinikum Carl Gustav Carus der Technischen Universität,Full-time,Germany , Dresden
1,Data Engineer (Data Engineer),2023-05-19,Universitätsklinikum Carl Gustav Carus der Technischen Universität,Full-time,Germany ,Kreisfreie Stadt
2,Data Engineer (Data Engineer),2023-05-17,aifora GmbH,Full-time,Germany , Düsseldorf
2,Data Engineer (Data Engineer),2023-05-17,aifora GmbH,Full-time,Germany ,Kreisfreie Stadt
3,Data Engineer* - Data Pipelines (Data Engineer),2023-05-19,Zentrale der Fraunhofer Gesellschaft e.V.,Full-time,Germany , Rhein-Sieg-Kreis
4,Data Engineer (m/w/d) (Data Engineer),2023-05-30,Heise Medien GmbH & Co. KG,Full-time,Germany , Region Hannover
5,Data Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany , Berlin 
5,Data Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
5,Data Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
5,Data Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Erfurt
5,Data Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
6,Data Engineer (w/m/d) (Data Engineer),2023-05-30,KIND GmbH & Co. KG,Full-time,Germany , Region Hannover
7,Data Engineer (m/w/d) (Data Engineer),2023-05-29,SIMunich GmbH,Full-time,Germany , Hamburg
8,Data Engineer (m/w/d) (Data Engineer),2023-05-26,FERCHAU GmbH Niederlassung Heidenheim,Full-time,Germany , Ostalbkreis
9,Data Engineer (m/w/d) (Data Engineer),2023-05-26,krauth technology GmbH,Full-time,Germany , Heidelberg
9,Data Engineer (m/w/d) (Data Engineer),2023-05-26,krauth technology GmbH,Full-time,Germany ,Stadtkreis
10,Data Engineer (m/w/d) (Data Engineer),2023-05-25,Bartels-Langness Handelsgesell schaft mbH & Co. KG,Full-time,Germany , Kiel
10,Data Engineer (m/w/d) (Data Engineer),2023-05-25,Bartels-Langness Handelsgesell schaft mbH & Co. KG,Full-time,Germany ,Kreisfreie Stadt
11,Data Engineer (m/w/d) (Data Engineer),2023-05-24,Universitätsklinikum Carl Gustav Carus Dresden,Full-time,Germany , Dresden
11,Data Engineer (m/w/d) (Data Engineer),2023-05-24,Universitätsklinikum Carl Gustav Carus Dresden,Full-time,Germany ,Kreisfreie Stadt
12,Data Engineer (m/w/d) (Data Engineer),2023-05-22,FERCHAU GmbH Niederlassung Osnabrück,Full-time,Germany , Osnabrück
12,Data Engineer (m/w/d) (Data Engineer),2023-05-22,FERCHAU GmbH Niederlassung Osnabrück,Full-time,Germany ,Kreisfreie Stadt
13,Data Engineer (m/w/d) (Data Engineer),2023-05-21,Schmieder GmbH Unternehmensberatung,Full-time,Germany , Ravensburg
14,Data Engineer (w/m/d) (Data Engineer),2023-05-19,ion2s GmbH,Full-time,Germany , Darmstadt
14,Data Engineer (w/m/d) (Data Engineer),2023-05-19,ion2s GmbH,Full-time,Germany ,Kreisfreie Stadt
15,Data Engineer (m/w/d) (Data Engineer),2023-05-18,E.ON Energie Deutschland GmbH,Full-time,Germany , Essen
15,Data Engineer (m/w/d) (Data Engineer),2023-05-18,E.ON Energie Deutschland GmbH,Full-time,Germany ,Kreisfreie Stadt
16,Data Engineer (m/w/d) (Data Engineer),2023-05-17,SIMO UG (haftungsbeschränkt),"Flexible,",Germany , Miltenberg
17,Data Engineer (w/m/d) (Data Engineer),2023-05-15,Fagus-GreCon Greten GmbH & Co. KG,Full-time,Germany , Hildesheim
18,Data Engineer (m/w/d) (Data Engineer),2023-12-05,FERCHAU GmbH Niederlassung Frankfurt,Full-time,Germany , Frankfurt am Main
18,Data Engineer (m/w/d) (Data Engineer),2023-12-05,FERCHAU GmbH Niederlassung Frankfurt,Full-time,Germany ,Kreisfreie Stadt
19,Data Engineer (m/w/d) (Data Engineer),2023-12-05,REMONDIS IT Services GmbH & Co. KG,Full-time,Germany , Unna
20,Data Engineer (m/w/d) (Data Engineer),2023-04-26,Allgeier IT GmbH Düsseldorf,Full-time,Germany , Berlin
21,Data Engineer (m/w/d) Data & Analytics (Data Engineer),2023-05-29,MID GmbH,Full-time,Germany , Nürnberg
21,Data Engineer (m/w/d) Data & Analytics (Data Engineer),2023-05-29,MID GmbH,Full-time,Germany ,Kreisfreie Stadt
22,(Senior) Data Engineer (all gender) (Data Engineer),2023-05-30,ALTEN GmbH Coburg,Full-time,Germany , Frankfurt am Main
22,(Senior) Data Engineer (all gender) (Data Engineer),2023-05-30,ALTEN GmbH Coburg,Full-time,Germany ,Kreisfreie Stadt
23,Data Engineer:in (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
23,Data Engineer:in (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
24,Senior Data Analyst / Data Engineer (m/f/d) (Data Engineer),2023-05-30,VEACT GmbH,Full-time,Germany , München
24,Senior Data Analyst / Data Engineer (m/f/d) (Data Engineer),2023-05-30,VEACT GmbH,Full-time,Germany ,Kreisfreie Stadt
25,BI Data Engineer / Data Architect (m/w/d) (Data Engineer),2023-05-24,Nagel-Group Logistics Europa AG,Full-time,Germany , Gütersloh
26,Senior Data Engineer Data & Personalisation (m/w/d) (Data Engineer),2023-05-22,Lidl Digital,Full-time,Germany , Berlin
27,"Data Engineer / Data Architect (m/w/d) ""MwM"" (Data Engineer)",2023-05-18,SIGNAL IDUNA Krankenversicheru ng a. G.,Full-time,Germany , Hamburg 
27,"Data Engineer / Data Architect (m/w/d) ""MwM"" (Data Engineer)",2023-05-18,SIGNAL IDUNA Krankenversicheru ng a. G.,Full-time,Germany ,Dortmund
27,"Data Engineer / Data Architect (m/w/d) ""MwM"" (Data Engineer)",2023-05-18,SIGNAL IDUNA Krankenversicheru ng a. G.,Full-time,Germany ,Kreisfreie Stadt
28,Senior Data Engineer Data & Personalisation (m/f/d) (Data Engineer),2023-05-15,Lidl Digital,Full-time,Germany , Berlin
29,Microsoft Data Analyst / Data Engineer (m/f/d) (Data Engineer),2023-09-05,Prodware Deutschland AG,Full-time,Germany , Hamburg 
29,Microsoft Data Analyst / Data Engineer (m/f/d) (Data Engineer),2023-09-05,Prodware Deutschland AG,Full-time,Germany ,Fürstenfeldbruck
30,Senior Data Engineer (m/w/d) (Data Engineer),2023-05-30,EDEKA DIGITAL GmbH,Full-time,Germany , Berlin
31,Senior Data Engineer (m/w/d) (Data Engineer),2023-05-30,EDEKA DIGITAL GmbH,Full-time,Germany , Hamburg 
31,Senior Data Engineer (m/w/d) (Data Engineer),2023-05-30,EDEKA DIGITAL GmbH,Full-time,Germany ,Mannheim
31,Senior Data Engineer (m/w/d) (Data Engineer),2023-05-30,EDEKA DIGITAL GmbH,Full-time,Germany ,Stadtkreis
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany , Berlin 
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,München
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Hamburg 
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Bremen
32,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
33,Streaming Data Engineer (w/m/d) (Data Engineer),2023-05-30,RTL Deutschland GmbH,"Flexible,",Germany , Köln
33,Streaming Data Engineer (w/m/d) (Data Engineer),2023-05-30,RTL Deutschland GmbH,"Flexible,",Germany ,Kreisfreie Stadt
34,(Senior) Data Engineer (m/w/d) (Data Engineer),2023-05-29,Statista GmbH,Full-time,Germany , Hamburg
35,Data Engineer Prozessdigitalisierung (m/w/d) (Data Engineer),2023-05-25,ISR Information Products AG,Full-time,Germany , Münster
35,Data Engineer Prozessdigitalisierung (m/w/d) (Data Engineer),2023-05-25,ISR Information Products AG,Full-time,Germany ,Kreisfreie Stadt
36,Data Engineer Python (m/f/d) (Data Engineer),2023-05-24,AssetMetrix GmbH,Full-time,Germany , München
36,Data Engineer Python (m/f/d) (Data Engineer),2023-05-24,AssetMetrix GmbH,Full-time,Germany ,Kreisfreie Stadt
37,Master Data Engineer (w/m/d) (Data Engineer),2023-05-24,dmTECH GmbH,Full-time,Germany,
38,Data Engineer Produktion (m/w/d) (Data Engineer),2023-05-23,I.K. Hofmann GmbH,Full-time,Germany , Ostalbkreis
39,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-20,Deutsche Bahn AG,Full-time,Germany , München
39,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-20,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
40,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-18,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
40,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-18,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
41,Senior Data Engineer (m/f/d) (Data Engineer),2023-05-15,Carly Connected Car,Full-time,Germany , München
41,Senior Data Engineer (m/f/d) (Data Engineer),2023-05-15,Carly Connected Car,Full-time,Germany ,Kreisfreie Stadt
42,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-14,Deutsche Bahn AG,Full-time,Germany , Mainz
42,Senior Data Engineer (w/m/d) (Data Engineer),2023-05-14,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
43,(Senior) Data Engineer (m/w/d) (Data Engineer),2023-12-05,esentri AG,Full-time,Germany , Köln
43,(Senior) Data Engineer (m/w/d) (Data Engineer),2023-12-05,esentri AG,Full-time,Germany ,Kreisfreie Stadt
44,(Senior) Data Engineer (m/w/d) (Data Engineer),2023-12-05,esentri AG,Full-time,Germany , München
44,(Senior) Data Engineer (m/w/d) (Data Engineer),2023-12-05,esentri AG,Full-time,Germany ,Kreisfreie Stadt
45,(Senior) Data Engineer (m/w/d) (Data Engineer),2023-12-05,esentri AG,Full-time,Germany , Karlsruhe
45,(Senior) Data Engineer (m/w/d) (Data Engineer),2023-12-05,esentri AG,Full-time,Germany ,Landkreis
46,Data Engineer / Architect (m/w/d) (Data Engineer),2023-12-05,Fressnapf Holding SE,Full-time,Germany , Krefeld
46,Data Engineer / Architect (m/w/d) (Data Engineer),2023-12-05,Fressnapf Holding SE,Full-time,Germany ,Kreisfreie Stadt
47,Senior Data Engineer (w/m/div)* (Data Engineer),2023-05-23,Infineon Technologies AG,Full-time,Germany , Soest
48,Data Engineer / Software Engineer (Python) (m/w/d) (Data Engineer),2023-08-05,GS Elektromedizinische Geräte G. Stemple GmbH,"Flexible,",Germany , Landsberg am Lech
49,Data Manager (Data Engineer),2023-08-05,Klinikum der Universität München,Full-time,Germany , München
49,Data Manager (Data Engineer),2023-08-05,Klinikum der Universität München,Full-time,Germany ,Kreisfreie Stadt
50,Data Engineer Data Warehouse/Business Intelligence (m/w/d) (Data Engineer),2023-05-30,WWK Lebensversicherung a. G.,Full-time,Germany , München
50,Data Engineer Data Warehouse/Business Intelligence (m/w/d) (Data Engineer),2023-05-30,WWK Lebensversicherung a. G.,Full-time,Germany ,Kreisfreie Stadt
51,Azure Data Factory & Spark Data Engineer (w|m|d) (Data Engineer),2023-02-05,BridgingIT GmbH,Full-time,Germany , Schwerin
